movie_id,movie_name,genre,box_office_collection
1,Warrior,Action,250
2,Love Story,Romance,120
3,Comedy Nights,Comedy,90
4,The Hero,Action,300
5,Family Time,Drama,150
6,Action Force,Action,280
7,Dream Girl,Romance,180
8,Laugh Out Loud,Comedy,110
9,Final Mission,Action,350
10,Romantic Days,Romance,140
11,Super Cop,Action,220
12,Village Tales,Drama,170
13,The Chase,Thriller,200
14,Happy Family,Drama,130
15,Mystery House,Thriller,240
16,Brave Heart,Action,320
17,College Love,Romance,160
18,Fun Unlimited,Comedy,100
19,Last Battle,Action,400
20,Life Journey,Drama,190
