product_id,rating,category,review
1,5,Electronics,Excellent product
2,4,Fashion,Good quality
3,5,Home,Very useful
4,3,Electronics,Average product
5,5,Beauty,Loved it
6,2,Fashion,Not satisfied
7,4,Electronics,Worth the price
8,5,Home,Excellent quality
9,1,Beauty,Poor quality
10,4,Fashion,Good product
11,3,Home,Average quality
12,5,Electronics,Amazing product
13,4,Beauty,Nice product
14,2,Fashion,Could be better
15,5,Electronics,Highly recommended
16,3,Home,Okay product
17,4,Fashion,Good value
18,5,Beauty,Excellent
19,1,Electronics,Very poor
20,4,Home,Satisfied
