player_name,runs,matches,team,average_rating
Virat Kohli,726.0,15.0,RCB,4.8
Rohit Sharma,398.0,14.0,MI,4.5
Shubman Gill,650.0,16.0,GT,4.7
Jaiswal,,14.0,RR,
Suryakumar Yadav,544.0,15.0,MI,4.6
Ruturaj Gaikwad,583.0,14.0,CSK,4.4
Jos Buttler,392.0,11.0,RR,4.2
KL Rahul,520.0,,LSG,
Faf du Plessis,438.0,14.0,RCB,4.1
Rinku Singh,317.0,14.0,KKR,4.0
Yashasvi Jaiswal,712.0,17.0,RR,4.9
Sanju Samson,531.0,16.0,RR,4.3
Rishabh Pant,,14.0,DC,
Shreyas Iyer,404.0,13.0,PBKS,4.0
Tilak Varma,416.0,13.0,MI,4.2
Hardik Pandya,216.0,14.0,MI,3.9
Ravindra Jadeja,267.0,16.0,CSK,
Andre Russell,222.0,,KKR,4.1
David Warner,371.0,14.0,DC,3.8
Ishan Kishan,345.0,13.0,MI,4.0
Shivam Dube,396.0,14.0,CSK,4.3
Nicholas Pooran,499.0,14.0,LSG,
Abhishek Sharma,484.0,16.0,SRH,4.7
Travis Head,567.0,15.0,SRH,4.6
Heinrich Klaasen,,15.0,SRH,4.5
Rajat Patidar,361.0,13.0,RCB,
Ishan Porel,82.0,8.0,PBKS,3.6
Ayush Badoni,235.0,14.0,LSG,3.9
Venkatesh Iyer,289.0,,KKR,
Tim David,187.0,12.0,MI,3.7
